index,iteração_1,iteração_2,Nossa_op
Rush to Hang Hussein Was  Questioned,Media,,Alta
"News Analysis: For Sunnis, Dictators End Is Ominous",Alta,Alta,Alta
Hard Choices Over Video,Media,Media,Baixa
States Take Lead on Ethics Rules for Lawmakers,Media,Media,Baixa
"Spitzer Arrives With Mandate, but Faces Challenges",Baixa,Media,Baixa
"Amid Champagne and Cheers, Spitzer Is Sworn in as Governor",Media,Media,Baixa
Graphic:  The Spitzer Team,Media,Media,Baixa
Their Stories,Media,Media,0
"Grim Milestone in Iraq: 3,000 U.S. Deaths",Alta,Alta,Alta
"From Father to Son, Last Words to Live By",Media,Media,Baixa
Audio & Photos,Media,Media,0
"A Century Later, Los Angeles Atones for Water Sins",Alta,Media,Baixa
Islamists Abandon Final Stronghold in Somalia,Baixa,Media,Alta
This Remaking of Downtown Has Downside,Media,Media,Baixa
Slide Show: New Years Celebrations Around the World,Media,Media,Baixa
2006 in Pictures,Media,Media,Baixa
Dave Anderson: Sports of The Times,Media,Media,Baixa
Old Model Versus a Speedster,Media,Media,Baixa
Krugman: Healthy 2007,Media,Media,Baixa
Herbert: Not Wanted,Baixa,Media,Baixa
Op-Ed: Follys Antidote,Media,Media,Baixa
Editorial: A Fresh Start,Media,Media,Baixa
Sectors,Baixa,Media,Baixa
Moving for the Food,Media,Baixa,Baixa
California Customizer Makes Leap,Media,Baixa,Baixa
Flex Time for the Rest of Us,Media,Media,Baixa
"Anderson: Jets, Giants and Chemistry",Media,Media,Baixa
Tehran Radio Lets Critics Vent Over Nuclear Plans,Media,Media,Alta
The Lives They Lived: Everybodys Wendy,Media,Media,Baixa
"Like It or Not, Citys Lack of Snow Is a Rarity",Media,Media,Média
"Hush, Little Baby, Mamas Crooning",Baixa,Media,Baixa
"News Analysis: For Sunnis, Dictators Degrading End Signals Ominous Dawn for the New Iraq",Alta,Alta,Alta
"3,000 Deaths in Iraq, Countless Tears at Home",Alta,Alta,Alta
Bombs in Bangkok Kill 2 and Wound More Than 30,Alta,Alta,Alta
"An Appreciation: From Father to Son, Last Words to Live By",Media,Baixa,Baixa
The Burden of an Unsolved Case and Its Nameless Victim,Alta,Media,Média
Thousands Honor Ford Under Capitol Dome,Media,Media,Baixa
Chief Justice AdvocatesAltaer Pay for Judiciary,Media,Media,Média
Middle Stance Emerges in Debate Over Climate,Media,Media,Média
Homicides Up in New York; Other Crimes Keep Falling,Media,Media,Alta
"Once Cast as the Accidental Governor, Rell Is Primed to Pursue Her Own Agenda",Media,Media,Média
Arctic Ice Shelf Broke Off Canadian Island,Media,Media,Média
Travel Habits Must Change to Make a Big Difference in Energy Consumption,Media,Media,Média
"India Prosperity Creates Paradox; Many Children Are Fat, Even More Are Famished",Alta,Alta,Média
New Job Title for Druggists: Diabetes Coach,Media,Media,Média
Side Effects: The Spine as Profit Center,Baixa,Alta,Alta
Crowds of Pupils but Little Else in African Schools,Media,Media,Média
Good Opening Can Be a Scholarship,Media,Media,Baixa
Texas: Panel Will Study Confederate Statues,Media,Media,Média
National Perspectives: Priced-Out Buyers in the Virgin Islands,Media,Media,Baixa
Streetscapes | East 63rd Street: Tracking a Century of Changes Along One Block of Town Houses,Media,Media,Baixa
"In Silicon Valley, the Race Is On to Trump Google",Alta,Alta,Média
"Loaded With Personalities, Now Satellite Radio May Try a Merger",Media,Media,Baixa
Disney Plans to Introduce a Sleek Makeover of Disney.com Site,Media,Media,Baixa
"Jets 23, Raiders 3: With Wild-Card Spot Clinched, Jets Can Finally Talk Playoffs",Media,Media,Baixa
Giants Get Fresh Start but Face Whole New Round of Questions,Media,Media,Baixa
Granddaddy of Bowls Has Touch of the Blues,Media,Baixa,Baixa
